"OBJECTID_1"	"INCIDENT_ID"	"OFFENSE_ID"	"OFFENSE_CODE"	"OFFENSE_CODE_EXTENSION"	"OFFENSE_TYPE_ID"	"OFFENSE_CATEGORY_ID"	"FIRST_OCCURENCE_DATE"	"LAST_OCCURENCE_DATE"	"REPORTED_DATE"	"INCIDENT_ADDRESS"	"GEO_X"	"GEO_Y"	"GEO_LON"	"GEO_LAT"	"DISTRICT_ID"	"PRECINCT_ID"	"NEIGHBORHOOD_ID"	"BICYCLE_IND"	"PEDESTRIAN_IND"
120662	2017465203	201746520354010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-14 14:00:00"	""	"2017-07-14 15:01:00"	"S QUEBEC ST / E YALE AVE"	3167918	1668612	-104.9035103	39.6676239	3	323	"Hampden"	0	0
120663	2017465333	201746533354410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-14 16:00:00"	""	"2017-07-14 16:12:00.000001"	"N SPEER BLVD / STOUT ST"	3140933	1695324	-104.9988427	39.7414014	1	123	"CBD"	0	0
120664	2017465353	201746535354410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-14 15:00:00"	""	"2017-07-14 16:09:00.000001"	"10406 E MLK BLVD"	3178010	1702129	-104.8668322	39.7594468	5	511	"Stapleton"	0	0
120686	2017466820	201746682054010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-15 03:10:00"	""	"2017-07-15 03:10:00"	"I70 HWYEB / N PECOS ST"	3138718	1710516	-105.0064256	39.7831392	1	111	"Sunnyside"	0	0
120687	2017467367	201746736754010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-15 11:28:00"	""	"2017-07-15 11:28:00"	"I70 HWYWB / N COLORADO BLVD"	3157206	1709511	-104.9406667	39.7800862	2	212	"Elyria Swansea"	0	0
120688	2017467464	201746746454010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-15 12:30:00"	""	"2017-07-16 11:20:00"	"W 8TH AVE / N INCA ST"	3141312	1690773	-104.9975845	39.7289024	1	123	"Lincoln Park"	0	0
120689	2017467593	201746759354410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-15 13:55:00"	""	"2017-07-15 13:55:00"	"W ALAMEDA AVE / S DECATUR ST"	3134279	1684271	-105.0227103	39.7111571	4	412	"Athmar Park"	0	0
120690	2017467888	201746788854410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-15 16:35:00"	""	"2017-07-15 17:37:00"	"E CHERRY CREEK N DR / S COLORADO BLVD"	3157347	1683013	-104.9407454	39.7073424	3	312	"Belcaro"	0	0
120691	2017468078	201746807854010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-08 20:00:00"	""	"2017-07-15 17:50:00"	"N PEARL ST / E 8TH AVE"	3146276	1690859	-104.9799343	39.7290618	6	623	"Capitol Hill"	0	0
120692	2017468238	201746823854410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-15 18:58:00"	""	"2017-07-15 19:43:00"	"W 10TH AVE / N SHERIDAN BLVD"	3125651	1692222	-105.0532387	39.7331047	1	122	"Villa Park"	0	0
120693	2017468387	201746838754411	5441	1	"TRAF-ACCIDENT-"	"TRAF - ACCIDENT - SBI"	"2017-07-15 20:12:00"	""	"2017-07-16 00:16:00"	"E 56TH AVE / N CHAMBERS RD"	3193991	1716400	-104.8096053	39.7983027	5	512	"Gateway - Green Valley Ranch"	0	0
120694	2017468478	201746847854010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-15 21:02:00"	""	"2017-07-15 22:32:00"	"S SANTA FE DR / W MISSISSIPPI AVE"	3142983	1679038	-104.991877	39.6966618	3	311	"Overland"	0	0
